YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,TAXI_OUT,ELAPSED_TIME,AIR_TIME,WHEELS_ON,SCHEDULED_ARRIVAL,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,OO,5254,N746SK,MAF,IAH,0510,,,,,,0637,0,1,B,,,,,
2015,1,1,4,US,480,N676AW,SEA,PHX,0515,0510,15,168,146,0851,0900,0,0,,,,,,
2015,1,1,4,AA,1057,N3ASAA,DFW,MIA,0515,0703,15,155,133,1031,0856,0,0,,0,0,0,0,102
2015,1,1,4,AA,2454,N3ETAA,BOS,MIA,0515,0510,14,215,182,0826,0843,0,0,,,,,,
2015,1,1,4,EV,4354,N12142,MKE,IAH,0515,0517,12,189,163,0812,0813,0,0,,,,,,
2015,1,1,4,US,425,N174US,PDX,PHX,0520,0620,13,150,132,0945,0850,0,0,,0,0,60,0,0
2015,1,1,4,AA,89,N3KVAA,IAH,MIA,0520,0618,19,137,111,0928,0841,0,0,,0,0,54,0,0
2015,1,1,4,DL,2099,N355NW,BNA,DTW,0520,0511,30,106,66,0747,0803,0,0,,,,,,
2015,1,1,4,EV,4685,N26545,BRO,IAH,0520,0517,15,72,49,0621,0634,0,0,,,,,,
2015,1,1,4,EV,5583,N882AS,VPS,ATL,0520,0514,9,57,42,0705,0726,0,0,,,,,,
2015,1,1,4,OO,5484,N824AS,BOI,SFO,0520,0525,24,110,79,0608,0612,0,0,,,,,,
2015,1,1,4,OO,7370,N432SW,BJI,MSP,0520,0517,31,72,34,0622,0620,0,0,,,,,,
2015,1,1,4,HA,103,N477HA,HNL,LIH,0523,0513,7,35,21,0541,0600,0,0,,,,,,
2015,1,1,4,EV,5187,N720EV,BNA,ATL,0525,0525,32,70,35,0732,0730,0,0,,,,,,
2015,1,1,4,MQ,2859,N660MQ,SGF,DFW,0525,,,,,,0700,0,1,B,,,,,
2015,1,1,4,UA,1201,N79521,PHL,IAH,0530,0532,12,234,210,0814,0820,0,0,,,,,,
2015,1,1,4,UA,1221,N37281,PDX,DEN,0530,0534,9,142,125,0848,0852,0,0,,,,,,
2015,1,1,4,UA,1607,N36476,SEA,DEN,0530,0529,10,157,138,0857,0907,0,0,,,,,,
2015,1,1,4,AA,328,N4XKAA,DEN,DFW,0530,0623,32,138,96,0931,0835,0,0,,13,0,53,0,0
